game_id,date,team,player,pts,reb,ast,pm3
0022301195,2024-04-14,LAL,LeBron James,28,11,17,0
0022301193,2024-04-14,MEM,GG Jackson,44,12,1,4
0022301186,2024-04-14,BOS,Payton Pritchard,38,9,12,4
0022301194,2024-04-14,PHX,Bradley Beal,36,6,5,6
0022301190,2024-04-14,NYK,Jalen Brunson,40,8,7,1
0022301188,2024-04-14,IND,Myles Turner,31,12,0,3
0022301190,2024-04-14,CHI,DeMar DeRozan,30,5,5,2
0022301199,2024-04-14,HOU,Amen Thompson,18,11,10,0
0022301195,2024-04-14,LAL,Anthony Davis,30,11,3,0
0022301191,2024-04-14,ORL,Paolo Banchero,26,11,7,2
0022301187,2024-04-14,CHA,JT Thor,20,9,4,3
0022301197,2024-04-14,DET,James Wiseman,21,17,1,0
0022301190,2024-04-14,CHI,Nikola Vučević,29,11,3,2
0022301190,2024-04-14,NYK,Donte DiVincenzo,25,7,2,5
0022301186,2024-04-14,BOS,Svi Mykhailiuk,26,5,5,6
0022301188,2024-04-14,ATL,Dejounte Murray,32,3,3,4
0022301193,2024-04-14,DEN,Nikola Jokić,15,15,5,0
0022301193,2024-04-14,MEM,Jake LaRavia,29,5,4,4
0022301186,2024-04-14,BOS,Neemias Queta,19,9,1,0
0022301190,2024-04-14,CHI,Alex Caruso,15,5,8,3
0022301187,2024-04-14,CHA,Nick Smith Jr.,24,6,3,6
0022301193,2024-04-14,DEN,Christian Braun,19,10,5,2
0022301188,2024-04-14,ATL,Mouhamed Gueye,19,9,0,2
0022301191,2024-04-14,ORL,Franz Wagner,25,5,3,1
0022301195,2024-04-14,NOP,CJ McCollum,25,4,7,4
0022301187,2024-04-14,CLE,Max Strus,14,10,11,4
0022301199,2024-04-14,LAC,Daniel Theis,16,11,2,2
0022301191,2024-04-14,MIL,Bobby Portis,17,10,1,3
0022301200,2024-04-14,SAC,De'Aaron Fox,24,2,3,2
0022301194,2024-04-14,PHX,Devin Booker,23,4,7,3
0022301198,2024-04-14,GSW,Klay Thompson,25,3,3,6
0022301200,2024-04-14,SAC,Domantas Sabonis,18,11,9,0
0022301192,2024-04-14,PHI,Tobias Harris,21,8,2,3
0022301188,2024-04-14,IND,Pascal Siakam,28,6,1,1
0022301192,2024-04-14,PHI,Buddy Hield,19,7,5,4
0022301186,2024-04-14,WAS,Jared Butler,22,2,7,2
0022301186,2024-04-14,WAS,Eugene Omoruyi,26,2,5,4
0022301192,2024-04-14,PHI,Tyrese Maxey,26,3,3,3
