game_id,date,team,player,pts,reb,ast,pm3,min,oreb,dreb,stl,blk,tov,fgm,fga,ftm,fta,pf,plus_minus
0022500992,2026-03-17,OKC,Shai Gilgeous-Alexander,40,5,2,3,35.61666666666667,0,5,4,0,3,14,27,9,11,2,-4
0022500991,2026-03-17,CHA,LaMelo Ball,30,6,13,4,33.126666666666665,1,5,1,0,5,11,22,4,5,2,32
0022500994,2026-03-17,NYK,Josh Hart,33,7,5,5,25.95,3,4,2,0,2,12,13,4,5,3,18
0022500992,2026-03-17,ORL,Paolo Banchero,32,10,5,3,36.21666666666667,2,8,1,0,4,12,21,5,6,2,9
0022500993,2026-03-17,DET,Jalen Duren,36,11,2,0,30.933333333333334,3,8,0,1,1,13,17,10,11,2,15
0022500995,2026-03-17,CLE,Evan Mobley,27,15,2,0,32.96666666666667,6,9,0,3,0,12,21,3,5,2,7
0022500996,2026-03-17,MIN,Julius Randle,32,7,2,2,33.11666666666667,2,5,3,0,6,10,17,10,13,5,8
0022500998,2026-03-17,SAC,Maxime Raynaud,32,9,3,2,41.63333333333333,0,9,0,1,2,13,25,4,4,3,-22
0022500994,2026-03-17,NYK,Karl-Anthony Towns,22,11,2,2,31.881666666666668,5,6,3,1,1,9,21,2,3,3,20
0022500995,2026-03-17,CLE,James Harden,27,5,6,2,33.5,1,4,2,0,2,7,10,11,13,4,17
0022500996,2026-03-17,PHX,Devin Booker,34,6,3,1,34.96666666666667,1,5,0,0,2,11,27,11,14,4,-3
0022500994,2026-03-17,NYK,OG Anunoby,26,8,4,4,29.233333333333334,1,7,1,0,1,10,13,2,2,2,25
0022500995,2026-03-17,MIL,Kevin Porter Jr.,25,3,10,1,32.55,1,2,0,2,1,8,15,8,8,3,-9
0022500993,2026-03-17,WAS,Bub Carrington,30,4,2,6,37.233333333333334,0,4,0,0,0,12,16,0,0,3,-11
0022500996,2026-03-17,MIN,Rudy Gobert,9,19,1,0,36.84166666666667,8,11,0,4,2,4,7,1,3,1,2
0022500995,2026-03-17,MIL,Bobby Portis,19,9,4,3,32.733333333333334,0,9,1,0,1,8,19,0,0,0,8
0022500996,2026-03-17,PHX,Oso Ighodaro,16,10,4,0,33.7,8,2,3,0,4,7,12,2,2,4,-6
0022500994,2026-03-17,NYK,Jose Alvarado,16,2,10,4,26.65,0,2,2,0,1,5,10,2,2,0,21
0022500996,2026-03-17,MIN,Jaden McDaniels,16,7,4,1,37.06666666666667,3,4,3,1,0,6,12,3,4,5,-4
0022500991,2026-03-17,MIA,Tyler Herro,20,8,5,1,30.933333333333334,1,7,1,0,4,5,11,9,9,0,-18
0022500992,2026-03-17,OKC,Chet Holmgren,20,12,1,0,33.25,2,10,0,1,0,8,14,4,5,0,10
0022500995,2026-03-17,CLE,Donovan Mitchell,19,8,3,1,33.88333333333333,0,8,1,1,0,4,14,10,13,4,-15
0022500992,2026-03-17,ORL,Jalen Suggs,14,7,6,4,32.65,2,5,1,1,2,5,12,0,0,0,-5
0022500996,2026-03-17,MIN,Bones Hyland,22,2,5,4,28.875,0,2,1,0,3,8,14,2,3,4,18
0022500991,2026-03-17,CHA,Miles Bridges,14,10,2,2,31.44333333333333,0,10,2,1,1,6,12,0,0,0,26
0022500991,2026-03-17,CHA,Kon Knueppel,22,2,2,2,23.616666666666667,0,2,2,1,0,8,14,4,4,5,27
0022500997,2026-03-17,DEN,Christian Braun,22,5,3,2,27.241666666666667,0,5,1,0,0,7,9,6,6,0,21
0022500998,2026-03-17,SAS,Victor Wembanyama,18,8,3,2,21.991666666666667,0,8,0,1,0,7,14,2,2,2,23
0022500998,2026-03-17,SAC,Nique Clifford,15,8,7,3,36.733333333333334,0,8,0,0,1,6,13,0,0,0,-14
0022500993,2026-03-17,WAS,Justin Champagnie,18,9,2,2,29.0,2,7,0,1,1,6,11,4,4,3,-9
0022500991,2026-03-17,CHA,Coby White,24,3,3,3,20.383333333333333,0,3,0,0,0,8,15,5,6,4,3
0022500993,2026-03-17,DET,Daniss Jenkins,15,2,7,2,20.766666666666666,2,0,2,1,1,4,9,5,6,0,10
0022500991,2026-03-17,MIA,Keshad Johnson,15,5,1,3,20.15,1,4,3,1,2,6,12,0,0,2,-13
0022500995,2026-03-17,MIL,Ousmane Dieng,19,5,1,5,29.733333333333334,0,5,1,0,2,7,12,0,2,4,2
0022500991,2026-03-17,CHA,Moussa Diabaté,8,13,4,0,31.156666666666666,5,8,2,1,2,4,6,0,0,3,21
0022500998,2026-03-17,SAS,De'Aaron Fox,15,5,6,3,21.733333333333334,0,5,1,0,0,5,10,2,2,0,33
0022500995,2026-03-17,MIL,Ryan Rollins,19,3,4,3,33.85,1,2,0,1,1,6,13,4,4,5,-5
0022500993,2026-03-17,WAS,Will Riley,21,3,1,1,37.28333333333333,1,2,2,0,0,7,13,6,9,1,-4
